Date;ADS GY Equity;AI FP Equity;AIR FP Equity;ALV GY Equity;ABI BB Equity;ASML NA Equity;CS FP Equity;BBVA SM Equity;SAN SM  Equity;BAS GY Equity;BAYN GY Equity;BMW GY Equity;BNP FP Equity;CRH ID Equity;BN FP Equity;DB1 GY Equity;DHL GR EQUITY;DTE GY Equity;ENEL IM Equity;ENI IM Equity;EL FP Equity;RMS FP Equity;IBE SM Equity;ITX SM Equity;IFX GY Equity;INGA NA Equity;ISP IM Equity;KER FP Equity;AD NA Equity;OR FP Equity;MC FP Equity;MBG GY Equity;MUV2 GY Equity;NOKIA FH Equity;NDA FH Equity;RI FP Equity;SAF FP Equity;SAN FP Equity;SAP GY Equity;SU FP Equity;SIE GY Equity;TTE FP Equity;DG FP Equity;VOW3 GY Equity
17/01/2019;200;85,91;91,76;180,24;62,63;137,5;20,1;5,04;4,08;63;64,16;71,26;41,42;24,7;61,9;112,9;25,11;14,59;5,24;14,22;112,1;495,7;6,95;23,83;17,92;10,11;2,01;397,5;22,36;196,75;246,55;41,08;190,45;5,22;7,87;138,25;108,2;73,31;90,48;58,48;88,61;46,92;74,38;142,9
18/01/2019;204;87,23;93,66;184;64,75;142,88;20,56;5,2;4,17;65,6;66,5;73,34;42,47;25,29;62,35;114,45;25,93;14,89;5,31;14,61;112,05;500,4;7,06;23,91;18,47;10,45;2,04;410;22,56;199,8;253,4;42,72;195,15;5,3;8;139,6;110,05;72,52;93,1;60,26;91,02;47,79;75,42;145,66
21/01/2019;206;86,9;94,5;184,4;64,43;143,54;20,49;5,21;4,16;65,15;65,97;73,03;42,3;25,08;62,94;114,65;25,64;14,53;5,19;14,55;112,3;501,4;7,01;23,98;18,52;10,39;2,04;412,9;22,45;198,85;257,25;42,58;195,5;5,34;8;138,7;110,1;72,69;91,97;60,38;91,2;47,39;74,74;144,88
22/01/2019;205,8;86,69;94,75;183,32;64,15;141,36;20,4;5,17;4,13;64,34;65,96;72,73;41,52;25,25;62,81;113,25;25,54;14,54;5,17;14,48;112,1;498,8;7,05;24,4;18,18;10,37;2,03;410;22,46;198,7;257,1;42,45;194,25;5,26;7,97;140;109,2;72,76;91,36;60,16;90;47,01;74,64;143,6
23/01/2019;207,3;86,82;93,81;183,28;64,58;142,62;20,27;5,23;4,17;63,16;66;72,23;41,58;24,88;62,68;114,55;25,8;14,46;5,13;14,32;111,75;499,8;7,07;24,45;18,11;10,45;2,04;412,7;23,18;200,5;257,35;42,21;194,6;5,31;8,01;142;109,75;72,59;91,6;59,18;89,29;46,61;74,84;142,26
24/01/2019;202,3;87,02;95,92;185;65,7;148,8;20,38;5,21;4,15;63,49;66,02;73,12;41,38;24,9;62,8;114,6;25,83;14,19;5,18;14,42;111,85;500,6;7,11;24,15;19,28;10,33;2,03;414,7;23,08;199,5;257,85;42,89;197,3;5,43;8,07;142,2;109,25;72,57;92,49;60,18;89,61;47,01;75,6;145,54
25/01/2019;204;86,94;96,51;185,92;65,54;154,44;20,41;5,3;4,23;65,09;67,81;74,35;42,99;25,62;62,45;114,95;26,23;14,1;5,19;14,57;111,15;504,4;7,07;23,62;19,71;10,64;2,06;421,2;23,39;200,6;261,1;44,13;196;5,74;8,05;141,5;110,5;72,88;92,66;61,18;90,8;47,45;76,84;151,64
28/01/2019;203,1;86,32;95,42;184,44;64;153,24;20,3;5,25;4,16;64,54;66,59;73,98;42,46;25,55;61,96;115,65;26,39;14,2;5,16;14,43;110,5;504;7,07;24,02;19,54;10,51;2,05;418,3;23,22;201,2;258,65;43,81;195,65;5,63;7,98;141;110,95;72,92;92,36;60,82;90,53;46,69;76,4;149,74
29/01/2019;204,3;87,02;96,05;185,64;64,57;151,66;20,36;5,26;4,16;65,24;65,99;73,85;42,38;25,3;62,52;116,65;26,11;14,29;5,24;14,52;110,4;503;7,14;24,11;19,43;10,5;2,05;418,4;23,4;205,9;259,75;43,65;197,1;5,7;7,93;142,85;113,75;74,21;89,81;61,56;90,98;47,24;76,88;147,62
30/01/2019;206,2;87,64;99;185,5;65,19;152,5;20,33;5,26;4,02;65,51;65,69;73,33;42,32;25,26;63,15;115,9;25,82;14,24;5,23;14,64;110,3;518,4;7,11;24,35;19,5;10,55;2,06;432,3;23,33;208,2;277,6;43,46;196,35;5,68;7,96;142,9;114,1;74,26;88,83;61,84;90,31;47,02;76,98;147,42
31/01/2019;207,7;87,56;100,22;184,92;66,61;153,22;20,25;5,17;3,96;63,82;66,2;73,46;40,97;25,1;63,5;116,25;25,87;14,19;5,27;14,81;110,65;524,4;7,2;24,51;19,42;10,31;1,99;437,5;23,02;210,1;279,75;43,37;194,5;5,51;7,93;145;114,5;75,41;90,25;62,08;86,69;47,98;76,88;148,62
