Date;EUR006M Index
15/01/2020;-0,334
16/01/2020;-0,33
17/01/2020;-0,332
20/01/2020;-0,333
21/01/2020;-0,334
22/01/2020;-0,329
23/01/2020;-0,32
24/01/2020;-0,323
27/01/2020;-0,333
28/01/2020;-0,337
29/01/2020;-0,336
30/01/2020;-0,337
31/01/2020;-0,338
03/02/2020;-0,338
04/02/2020;-0,34
05/02/2020;-0,346
06/02/2020;-0,343
07/02/2020;-0,339
10/02/2020;-0,346
11/02/2020;-0,35
12/02/2020;-0,362
13/02/2020;-0,357
14/02/2020;-0,359
17/02/2020;-0,353
18/02/2020;-0,358
19/02/2020;-0,353
20/02/2020;-0,358
21/02/2020;-0,356
24/02/2020;-0,357
25/02/2020;-0,358
26/02/2020;-0,371
27/02/2020;-0,375
28/02/2020;-0,386
02/03/2020;-0,4
03/03/2020;-0,422
04/03/2020;-0,418
05/03/2020;-0,432
06/03/2020;-0,427
09/03/2020;-0,421
10/03/2020;-0,438
11/03/2020;-0,429
12/03/2020;-0,447
13/03/2020;-0,397
16/03/2020;-0,372
17/03/2020;-0,373
18/03/2020;-0,36
19/03/2020;-0,345
20/03/2020;-0,313
23/03/2020;-0,307
24/03/2020;-0,306
25/03/2020;-0,298
26/03/2020;-0,274
27/03/2020;-0,281
30/03/2020;-0,28
31/03/2020;-0,287
01/04/2020;-0,276
02/04/2020;-0,268
03/04/2020;-0,277
06/04/2020;-0,253
07/04/2020;-0,232
08/04/2020;-0,196
09/04/2020;-0,179
14/04/2020;-0,195
15/04/2020;-0,196
16/04/2020;-0,187
17/04/2020;-0,195
20/04/2020;-0,185
21/04/2020;-0,178
22/04/2020;-0,124
23/04/2020;-0,114
24/04/2020;-0,136
27/04/2020;-0,147
28/04/2020;-0,163
29/04/2020;-0,169
30/04/2020;-0,17
04/05/2020;-0,157
05/05/2020;-0,165
06/05/2020;-0,136
07/05/2020;-0,114
08/05/2020;-0,145
11/05/2020;-0,147
12/05/2020;-0,147
13/05/2020;-0,142
14/05/2020;-0,137
15/05/2020;-0,131
18/05/2020;-0,137
19/05/2020;-0,138
20/05/2020;-0,139
21/05/2020;-0,145
22/05/2020;-0,154
25/05/2020;-0,145
26/05/2020;-0,133
