Date;EUR006M Index
15/08/2023;3,943
16/08/2023;3,964
17/08/2023;3,941
18/08/2023;3,944
21/08/2023;3,941
22/08/2023;3,951
23/08/2023;3,953
24/08/2023;3,932
25/08/2023;3,935
28/08/2023;3,944
29/08/2023;3,944
30/08/2023;3,956
31/08/2023;3,987
01/09/2023;3,934
04/09/2023;3,955
05/09/2023;3,938
06/09/2023;3,929
07/09/2023;3,938
08/09/2023;3,952
11/09/2023;3,97
12/09/2023;3,968
13/09/2023;3,999
14/09/2023;4,04
15/09/2023;4,055
18/09/2023;4,066
19/09/2023;4,071
20/09/2023;4,07
21/09/2023;4,072
22/09/2023;4,082
25/09/2023;4,122
26/09/2023;4,09
27/09/2023;4,136
28/09/2023;4,125
29/09/2023;4,125
02/10/2023;4,138
03/10/2023;4,128
04/10/2023;4,13
05/10/2023;4,125
06/10/2023;4,113
09/10/2023;4,129
10/10/2023;4,112
11/10/2023;4,114
12/10/2023;4,121
13/10/2023;4,121
16/10/2023;4,103
17/10/2023;4,118
18/10/2023;4,143
19/10/2023;4,126
20/10/2023;4,107
23/10/2023;4,096
24/10/2023;4,102
25/10/2023;4,092
26/10/2023;4,105
27/10/2023;4,102
30/10/2023;4,109
31/10/2023;4,092
01/11/2023;4,081
02/11/2023;4,072
03/11/2023;4,062
06/11/2023;4,066
07/11/2023;4,072
08/11/2023;4,066
09/11/2023;4,055
10/11/2023;4,074
13/11/2023;4,085
14/11/2023;4,097
15/11/2023;4,076
16/11/2023;4,071
17/11/2023;4,064
20/11/2023;4,058
21/11/2023;4,07
22/11/2023;4,063
23/11/2023;4,062
24/11/2023;4,074
27/11/2023;4,05
28/11/2023;4,026
29/11/2023;4,05
30/11/2023;4,029
01/12/2023;4,004
04/12/2023;3,945
05/12/2023;3,953
06/12/2023;3,95
07/12/2023;3,948
08/12/2023;3,935
11/12/2023;3,955
12/12/2023;3,96
13/12/2023;3,945
