Date;SX5E Index
01/04/2022;3918,68
04/04/2022;3951,12
05/04/2022;3917,85
06/04/2022;3824,69
07/04/2022;3802,01
08/04/2022;3858,37
11/04/2022;3839,62
12/04/2022;3831,47
13/04/2022;3827,96
14/04/2022;3848,68
19/04/2022;3830,76
20/04/2022;3896,81
21/04/2022;3928,03
22/04/2022;3840,01
25/04/2022;3757,59
26/04/2022;3721,36
27/04/2022;3734,64
28/04/2022;3777,02
29/04/2022;3802,86
02/05/2022;3732,44
03/05/2022;3761,19
04/05/2022;3724,99
05/05/2022;3696,63
06/05/2022;3629,17
09/05/2022;3526,86
10/05/2022;3554,8
11/05/2022;3647,87
12/05/2022;3613,43
13/05/2022;3703,42
16/05/2022;3685,34
17/05/2022;3741,51
18/05/2022;3690,74
19/05/2022;3640,55
20/05/2022;3657,03
23/05/2022;3708,39
24/05/2022;3647,56
25/05/2022;3677,1
26/05/2022;3740,31
27/05/2022;3808,86
30/05/2022;3841,62
31/05/2022;3789,21
01/06/2022;3759,54
02/06/2022;3795,13
03/06/2022;3783,66
06/06/2022;3838,42
07/06/2022;3806,74
08/06/2022;3788,93
09/06/2022;3724,45
10/06/2022;3599,2
13/06/2022;3502,5
14/06/2022;3475,18
15/06/2022;3532,32
16/06/2022;3427,91
17/06/2022;3438,46
20/06/2022;3469,83
21/06/2022;3494
22/06/2022;3464,64
23/06/2022;3436,29
24/06/2022;3533,17
27/06/2022;3538,88
28/06/2022;3549,29
29/06/2022;3514,32
30/06/2022;3454,86
01/07/2022;3448,31
04/07/2022;3452,42
05/07/2022;3359,83
06/07/2022;3421,84
07/07/2022;3488,5
08/07/2022;3506,55
11/07/2022;3471,69
12/07/2022;3487,05
13/07/2022;3453,97
14/07/2022;3396,61
15/07/2022;3477,2
18/07/2022;3511,86
19/07/2022;3587,44
20/07/2022;3585,24
21/07/2022;3596,51
22/07/2022;3596,49
25/07/2022;3604,16
26/07/2022;3575,36
27/07/2022;3607,78
28/07/2022;3652,2
29/07/2022;3708,1
01/08/2022;3706,62
02/08/2022;3684,63
03/08/2022;3732,54
04/08/2022;3754,6
05/08/2022;3725,39
08/08/2022;3757,22
09/08/2022;3715,37
10/08/2022;3749,35
11/08/2022;3757,05
12/08/2022;3776,81
15/08/2022;3789,62
16/08/2022;3805,22
17/08/2022;3756,06
18/08/2022;3777,38
19/08/2022;3730,32
22/08/2022;3658,22
23/08/2022;3652,52
24/08/2022;3667,46
25/08/2022;3674,54
26/08/2022;3603,68
29/08/2022;3570,51
30/08/2022;3561,92
31/08/2022;3517,25
01/09/2022;3456,7
02/09/2022;3544,38
05/09/2022;3490,01
06/09/2022;3500,14
07/09/2022;3502,09
08/09/2022;3512,38
09/09/2022;3570,04
12/09/2022;3646,51
13/09/2022;3586,18
14/09/2022;3567,56
15/09/2022;3541,79
16/09/2022;3500,41
19/09/2022;3499,49
20/09/2022;3467,09
21/09/2022;3491,87
22/09/2022;3427,14
23/09/2022;3348,6
26/09/2022;3342,56
27/09/2022;3328,65
28/09/2022;3335,3
29/09/2022;3279,04
30/09/2022;3318,2
03/10/2022;3342,17
04/10/2022;3484,48
05/10/2022;3447,72
06/10/2022;3433,45
07/10/2022;3375,46
10/10/2022;3356,88
11/10/2022;3340,35
12/10/2022;3331,53
13/10/2022;3362,4
14/10/2022;3381,73
17/10/2022;3441,64
18/10/2022;3463,83
19/10/2022;3471,24
20/10/2022;3492,85
21/10/2022;3476,63
24/10/2022;3527,79
25/10/2022;3585,58
26/10/2022;3605,31
27/10/2022;3604,51
28/10/2022;3613,02
31/10/2022;3617,54
01/11/2022;3651,02
02/11/2022;3622,01
03/11/2022;3593,18
04/11/2022;3688,33
07/11/2022;3708,8
08/11/2022;3739,28
09/11/2022;3728,03
10/11/2022;3846,56
11/11/2022;3868,5
14/11/2022;3887,51
15/11/2022;3915,09
16/11/2022;3882,78
17/11/2022;3878,42
18/11/2022;3924,84
21/11/2022;3909,28
22/11/2022;3929,9
23/11/2022;3946,44
24/11/2022;3961,99
25/11/2022;3962,41
28/11/2022;3935,51
29/11/2022;3934,44
30/11/2022;3964,72
01/12/2022;3984,5
02/12/2022;3977,9
05/12/2022;3956,53
06/12/2022;3939,19
07/12/2022;3920,9
08/12/2022;3921,27
09/12/2022;3942,62
12/12/2022;3921,82
13/12/2022;3986,83
14/12/2022;3975,26
15/12/2022;3835,7
16/12/2022;3804,02
19/12/2022;3811,24
20/12/2022;3802,49
21/12/2022;3872,15
22/12/2022;3823,29
23/12/2022;3817,01
27/12/2022;3832,89
28/12/2022;3808,82
29/12/2022;3850,07
30/12/2022;3793,62
02/01/2023;3856,09
03/01/2023;3882,29
04/01/2023;3973,97
05/01/2023;3959,48
06/01/2023;4017,83
09/01/2023;4068,62
10/01/2023;4057,46
11/01/2023;4099,76
12/01/2023;4126,68
13/01/2023;4150,8
16/01/2023;4157
